n,S,comparisons,comparisons_per_n,comparisons_per_n_log2_n
1000,16,10413,10.413,1.0448751149496787
2000,16,22598,11.299,1.030386856670524
5000,16,58584,11.7168,0.9535379440928629
10000,16,127112,12.7112,0.9566131202209994
20000,16,274483,13.72415,0.9605561503074419
50000,16,770552,15.41104,0.9872770628662428
100000,16,1638368,16.38368,0.9863958238720111
200000,16,3478148,17.39074,0.9875692820217096
500000,16,9609207,19.218414,1.0151516991117482
1000000,16,20223321,20.223321,1.0146377054902167
2000000,16,42446544,21.223272,1.0139360521267062
5000000,16,108207123,21.6414246,0.9724954656139104
10000000,16,226420940,22.642094,0.9737070655204936
