n,S,comparisons,cpu_run_1,cpu_run_2,cpu_run_3,cpu_run_4,cpu_run_5,median_cpu_time,relative_median_cpu_time,cpu_time_over_fastest_percent
100000,2,1536133,0.140625,0.140625,0.140625,0.140625,0.140625,0.140625,1.2857142857142858,28.57142857142858
100000,4,1536761,0.125,0.125,0.125,0.125,0.125,0.125,1.1428571428571428,14.28571428571428
100000,8,1557387,0.109375,0.125,0.125,0.125,0.125,0.125,1.1428571428571428,14.28571428571428
100000,12,1619056,0.125,0.109375,0.109375,0.125,0.125,0.125,1.1428571428571428,14.28571428571428
100000,16,1639048,0.109375,0.109375,0.109375,0.109375,0.125,0.109375,1.0,0.0
100000,20,1639048,0.125,0.125,0.125,0.125,0.109375,0.125,1.1428571428571428,14.28571428571428
100000,24,1765444,0.109375,0.125,0.109375,0.125,0.109375,0.109375,1.0,0.0
100000,32,1862273,0.109375,0.125,0.125,0.109375,0.125,0.125,1.1428571428571428,14.28571428571428
100000,48,1950925,0.109375,0.125,0.125,0.125,0.125,0.125,1.1428571428571428,14.28571428571428
100000,64,2386479,0.140625,0.140625,0.15625,0.140625,0.140625,0.140625,1.2857142857142858,28.57142857142858
500000,2,8837346,0.796875,0.796875,0.796875,0.765625,0.765625,0.796875,1.1590909090909092,15.909090909090917
500000,4,8864851,0.703125,0.703125,0.734375,0.71875,0.71875,0.71875,1.0454545454545454,4.545454545454541
500000,8,9036346,0.671875,0.6875,0.703125,0.671875,0.6875,0.6875,1.0,0.0
500000,12,9036346,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,1.0,0.0
500000,16,9614449,0.671875,0.6875,0.6875,0.6875,0.6875,0.6875,1.0,0.0
500000,20,9614449,0.6875,0.65625,0.6875,0.6875,0.6875,0.6875,1.0,0.0
500000,24,9614449,0.671875,0.6875,0.703125,0.703125,0.6875,0.6875,1.0,0.0
500000,32,11094641,0.71875,0.75,0.734375,0.734375,0.71875,0.734375,1.0681818181818181,6.818181818181812
500000,48,11094641,0.75,0.71875,0.71875,0.734375,0.71875,0.71875,1.0454545454545454,4.545454545454541
500000,64,14446819,0.90625,0.890625,0.875,0.875,0.875,0.875,1.2727272727272727,27.27272727272727
1000000,2,18675172,1.6875,1.6875,1.703125,1.671875,1.6875,1.6875,1.1134020618556701,11.340206185567014
1000000,4,18728832,1.578125,1.609375,1.59375,1.5625,1.578125,1.578125,1.041237113402062,4.123711340206193
1000000,8,19073024,1.53125,1.515625,1.515625,1.5,1.515625,1.515625,1.0,0.0
1000000,12,19073024,1.53125,1.515625,1.53125,1.53125,1.515625,1.53125,1.0103092783505154,1.0309278350515427
1000000,16,20225899,1.515625,1.515625,1.515625,1.515625,1.515625,1.515625,1.0,0.0
1000000,20,20225899,1.46875,1.515625,1.515625,1.53125,1.53125,1.515625,1.0,0.0
1000000,24,20225899,1.484375,1.53125,1.515625,1.515625,1.53125,1.515625,1.0,0.0
1000000,32,23175281,1.609375,1.609375,1.609375,1.59375,1.59375,1.609375,1.0618556701030928,6.185567010309279
1000000,48,23175281,1.609375,1.59375,1.578125,1.59375,1.59375,1.59375,1.0515463917525774,5.154639175257736
1000000,64,29872657,1.9375,1.90625,1.890625,1.890625,1.90625,1.90625,1.2577319587628866,25.773195876288657
5000000,2,105050548,11.40625,11.46875,11.484375,11.4375,11.46875,11.46875,1.1037593984962406,10.37593984962406
5000000,4,105111784,11.03125,11.046875,10.953125,11.0,11.046875,11.03125,1.061654135338346,6.165413533834596
5000000,8,105552048,10.546875,10.59375,10.65625,10.6875,10.671875,10.65625,1.025563909774436,2.556390977443601
5000000,12,108205979,10.328125,10.40625,10.375,10.390625,10.5,10.390625,1.0,0.0
5000000,16,108205979,10.359375,10.5,10.46875,10.390625,10.390625,10.390625,1.0,0.0
5000000,20,116173144,10.53125,10.546875,10.5,10.53125,10.703125,10.53125,1.0135338345864662,1.3533834586466176
5000000,24,116173144,10.515625,10.578125,10.5,10.5,11.46875,10.515625,1.0120300751879698,1.2030075187969835
5000000,32,116173144,10.53125,10.53125,10.53125,10.5625,12.1875,10.53125,1.0135338345864662,1.3533834586466176
5000000,48,135629769,11.15625,11.265625,11.234375,11.265625,12.71875,11.265625,1.0842105263157895,8.421052631578952
5000000,64,135629769,11.15625,11.21875,11.25,11.234375,12.6875,11.234375,1.081203007518797,8.120300751879705
